Date,Street,Rooms,m2,Floor,Serie,€/m2,Price
2025-01-09,Каниера 8,2,37,1/5,Лит. пр.,"1,024","37,900"
2025-01-09,Латгалес 222,3,62,2/9,467-я,"1,239","76,800"
2025-01-09,Локомотивес 94,1,32,4/5,Лит. пр.,719,"23,000"
2025-01-09,Крустпилс 75-4,1,13,1/3,Спец. пр.,"1,115","14,500"
2025-01-09,Локомотивес 64,2,49,4/5,Лит. пр.,"1,222","59,900"
2025-01-09,Икшкилес 16,2,45,2/5,Лит. пр.,733,"33,000"
2025-01-09,Расас 4,2,51,4/5,Лит. пр.,725,"37,000"
2025-01-09,Латгалес 250 K-1,2,42,4/5,Хрущ.,904,"37,985"
2025-01-09,Латгалес 260,2,46,1/5,Лит. пр.,"1,261","58,000"
2025-01-09,Латгалес 421,1,31,3/5,Лит. пр.,"1,081","33,500"
2025-01-09,Е. Ранцана 8,3,57,3/5,Лит. пр.,"1,088","62,000"
2025-01-09,Каниера 16,1,37,5/12,М. сем.,919,"34,000"
2025-01-09,Саласпилс 6/4,2,45,3/5,Лит. пр.,"1,044","47,000"
2025-01-09,Латгалес 425,1,34,7/9,467-я,876,"29,800"
2025-01-09,Прушу 17a,1,19,3/4,М. сем.,"1,315","24,980"
2025-01-09,Локомотивес 46,3,54,5/5,Лит. пр.,833,"44,999"
2025-01-09,Аглонас 16,3,58,1/5,Хрущ.,776,"45,000"
2025-01-09,Крустпилс 73k4,1,12,2/3,М. сем.,958,"11,500"
2025-01-09,Рушону 22,2,43,5/5,Хрущ.,"1,160","49,900"
2025-01-09,Крустпилс 73k2,2,41,3/3,Хрущ.,534,"21,900"
2025-01-09,Славу 15,2,51,2/9,602-я,782,"39,900"
2025-01-09,Латгалес 279к5.5,2,45,5/5,Лит. пр.,750,"33,750"
2025-01-09,Латгалес 260,2,49,2/5,Хрущ.,694,"34,000"
2025-01-09,Прушу 15 k-1,1,30,3/5,103-я,"1,325","39,750"
2025-01-09,Е. Ранцана 8,1,31,3/5,Хрущ.,774,"24,000"
2025-01-09,Прушу 46,3,86,2/10,Спец. пр.,"1,453","125,000"
2025-01-09,Локомотивес 62,2,48,3/5,Лит. пр.,656,"31,500"
2025-01-09,Вишкю 9,1,29,1/5,Лит. пр.,793,"23,000"
2025-01-09,Вишкю 7,3,62,1/5,Лит. пр.,782,"48,500"
2025-01-09,Расас 30,2,50,1/5,Лит. пр.,"1,040","52,000"
2025-01-09,Локомотивес 52,1,32,2/12,Чеш. пр.,"1,147","36,700"
2025-01-09,Каниера 17,2,40,1/3,Дов. дом,"1,750","70,000"
2025-01-09,Латгалес 429,3,61,1/5,Лит. пр.,687,"41,900"
2025-01-09,Аглонас 10/2,3,59,4/5,Хрущ.,898,"53,000"
2025-01-09,Аглонас 27,3,54,5/5,Хрущ.,665,"35,900"
2025-01-09,Вишкю 1,2,45,1/9,467-я,933,"41,998"
2025-01-09,Вишкю 3,4,60,4/5,Лит. пр.,862,"51,698"
2025-01-09,Авиацияс 5,3,71,3/5,Лит. пр.,"1,085","77,000"
2025-01-09,Латгалес 301,2,51,4/12,Чеш. пр.,"1,078","55,000"
2025-01-09,Локомотивес 90,1,30,1/5,Лит. пр.,843,"25,300"
2025-01-09,Икшкилес 3,3,57,3/5,Хрущ.,719,"41,000"
2025-01-09,Прушу 46,4,119,10/10,Нов.,"1,997","237,600"
2025-01-09,Вишкю 13,1,30,5/5,Лит. пр.,"1,167","35,000"
2025-01-09,Локомотивес 70,2,45,3/5,Лит. пр.,"1,222","55,000"
