Date,District,Street,Rooms,m2,Floor,Serie,Price
2025-09-15,Шампетерис-Плескодале,Лиелирбес 11,2,68,4/27,Нов.,129500
2025-09-15,Кенгарагс,Латгалес 109,2,40,1/5,Рекон.,48500
2025-09-15,Агенскалнс,Сабилес 13,2,44,1/3,Нов.,139500
2025-09-15,Агенскалнс,Сабилес 13,2,49,1/3,Нов.,137200
2025-09-15,Агенскалнс,Мелнсила 9,1,27,2/3,Дов. дом,53900
2025-09-15,Зиепниеккалнс,Валдекю 68,3,64,9/9,602-я,82000
2025-09-15,Кипсала,Кипсалас 4,1,37,2/4,Спец. пр.,102500
2025-09-15,центр,Тимотея 1,2,59,4/4,Дов. дом,99000
2025-09-15,Югла,Балтезера 1,4,71,3/5,Спец. пр.,84000
2025-09-15,центр,Гертрудес 71,3,74,6/6,Дов. дом,140000
2025-09-15,Саркандаугава,Дунтес 28,3,131,9/16,Нов.,211000
2025-09-15,центр,Валмиерас 28,3,90,4/5,Рекон.,190000
2025-09-15,Пурвциемс,Пуцес 45,3,97,2/10,Нов.,198000
2025-09-15,центр,Републикас пл. 3,2,56,4/9,Нов.,145000
2025-09-15,центр,Катринас Д. 26,1,22,2/3,Сталинка,25500
2025-09-15,Пурвциемс,Стирну 22,1,38,3/5,Спец. пр.,46500
2025-09-15,Иманта,Анниньмуйжас 28,2,54,4/16,Спец. пр.,91500
2025-09-15,центр,Републикас пл. 3,2,61,4/6,Нов.,296450
2025-09-15,центр,Тербатас 97,3,118,6/6,Дов. дом,221000
2025-09-15,центр,Дзирнаву 3,4,165,3/5,Рекон.,309000
2025-09-15,центр,Райня бульв. 2,3,112,4/6,Рекон.,665000
2025-09-15,Шампетерис-Плескодале,Юркалнес 77,2,60,2/2,Нов.,120000
2025-09-15,центр,Госпиталю 16,2,47,2/5,Хрущ.,81200
2025-09-15,Даугавгрива,Бирзес 28,2,49,12/12,Чеш. пр.,38000
2025-09-15,Ильгюциемс,Дзирциема 71,2,50,5/9,602-я,51800
2025-09-15,Золитуде,Юркалнес 77,1,28,2/2,Нов.,45000
2025-09-15,центр,Райня бульв. 31,3,90,1/5,Дов. дом,115000
2025-09-15,Пурвциемс,Дзелзавас 23,3,78,3/9,602-я,94000
2025-09-15,Ильгюциемс,Буллю 31A,3,65,5/5,Лит. пр.,71500
2025-09-15,Ильгюциемс,Лидоню 5,3,56,4/5,Лит. пр.,49850
2025-09-15,Агенскалнс,Калнциема 23,2,52,3/3,Рекон.,207600
2025-09-15,Кенгарагс,Вишкю 11,3,60,5/5,Лит. пр.,45000
2025-09-15,Кенгарагс,Каниера 18,1,35,1/12,М. сем.,42600
2025-09-15,Кенгарагс,Латгалес 273/3,2,38,2/5,Лит. пр.,53900
2025-09-15,Межапарк,Эзермалас 20,4,140,2/3,Дов. дом,330000
2025-09-15,Агенскалнс,Триядибас 1A,4,95,4/7,Нов.,422000
2025-09-15,Агенскалнс,Ранькя Д. 34,3,95,6/22,Нов.,206800
2025-09-15,центр,Бривибас 117,3,70,3/4,Рекон.,175000
2025-09-15,Агенскалнс,Зеллю 13,3,57,2/4,Рекон.,160720
2025-09-15,р-он,ул. Латгалес Католю 9,1,30,4/5,Дов. дом,28000
2025-09-15,Вецрига,Калькю 2,3,79,2/5,Рекон.,250000
2025-09-15,Тейка,Арайшу 6,1,30,1/3,Ч. дом,60000
2025-09-15,Плявниеки,Плявниеку 6,3,63,2/9,602-я,78000
2025-09-15,Пурвциемс,Вайдавас 3A,2,49,6/6,Нов.,86000
2025-09-15,центр,Гертрудес 105,3,60,2/5,Дов. дом,91500
2025-09-15,Иманта,Лазду 41,4,115,1/1,Нов.,230000
2025-09-15,р-он,ул. Латгалес Католю 9,2,36,1/5,Дов. дом,35500
2025-09-15,центр,Бирзниека-Упиша 21F,3,60,1/1,Спец. пр.,70000
2025-09-15,Межциемс,Гайльэзера 13,3,87,4/9,Нов.,233168
2025-09-15,центр,Лачплеша 62,2,61,3/5,Спец. пр.,79300
2025-09-15,Пурвциемс,Стирну 4,3,72,3/12,Нов.,135500
2025-09-15,центр,М. Матиса 29,3,58,1/3,Рекон.,134000
2025-09-15,Шампетерис-Плескодале,Юркалнес 77,3,85,4/5,Нов.,165000
2025-09-15,Пурвциемс,Кастранес 1k2,1,18,1/5,Рекон.,35700
2025-09-15,Кливерсала,Кугю 28,3,133,1/7,Нов.,570000
2025-09-15,Золитуде,Анниньмуйжас 4,2,57,9/16,104-я,65000
2025-09-15,центр,Аусекля 3,3,61,1/5,Дов. дом,149000
2025-09-15,Золитуде,Калтувес 77,1,28,1/2,Нов.,40000
2025-09-15,Тейка,Кастранес 1k2,1,18,1/5,Рекон.,35700
2025-09-15,Пурвциемс,Стирну 37A,3,60,6/9,602-я,79900
2025-09-15,Межапарк,Эзермалас 13,4,166,1/5,Нов.,240000
2025-09-15,Золитуде,Биезиня 9,2,60,6/9,119-я,67000
2025-09-15,Межапарк,Инчукална 2,4,96,2/4,Рекон.,198000
2025-09-15,Пурвциемс,Илукстес 101k1,1,38,5/5,103-я,39000
2025-09-15,Дзегужкалнс,Яунсаулес 1,2,39,1/3,Нов.,99000
2025-09-15,Иманта,Акацию 2F,3,62,2/9,Нов.,174058
2025-09-15,Иманта,Акацию 2F,4,78,2/9,Нов.,218858
2025-09-15,центр,Пернавас 38,2,43,1/3,Дов. дом,75000
2025-09-15,Зиепниеккалнс,Озолциема 18,3,72,3/9,119-я,85000
2025-09-15,центр,Лачплеша 29,3,85,3/5,Дов. дом,129000
2025-09-15,Кенгарагс,Саласпилс 22,1,44,4/4,Рекон.,50000
2025-09-15,Гризинькалнс,Таллинас 96,3,59,2/3,Рекон.,84500
2025-09-15,Агенскалнс,Вилипа 8,3,60,3/48,467-я,65000
2025-09-15,Иманта,Анниньмуйжас 43,3,107,21/24,Нов.,165000
2025-09-15,центр,Барона 23,5,108,5/5,Рекон.,159500
2025-09-15,центр,Барона 23,4,77,5/5,Рекон.,123700
2025-09-15,Тейка,Бривибас 231,3,54,4/5,Хрущ.,55000
2025-09-15,Тейка,Бикерниеку 12a,1,29,1/3,Дов. дом,24000
2025-09-15,Тейка,Кастранес 1/2,1,20,1/5,Рекон.,39500
2025-09-15,Кенгарагс,Латгалес 409,2,55,3/5,Спец. пр.,43000
2025-09-15,Зиепниеккалнс,Биксту 6,3,104,4/6,Нов.,175000
2025-09-15,Чиекуркалнс,Саулкрасту 2/4,1,15,2/2,Дов. дом,12500
2025-09-15,центр,Чака 70,4,151,6/6,Дов. дом,299000
2025-09-15,центр,Гертрудес 65,3,66,3/6,Нов.,189000
2025-09-15,Зиепниеккалнс,Зиепью 5,2,40,3/4,Хрущ.,49800
2025-09-15,Агенскалнс,Кугю 28,4,172,5/7,Нов.,980000
2025-09-15,центр,Клуса 20,1,37,2/9,Рекон.,47000
2025-09-15,Агенскалнс,Тапешу 24,2,36,3/5,Спец. пр.,40000
2025-09-15,Вецрига,Мейстару 6,4,67,4/5,Дов. дом,189000
2025-09-15,Ильгюциемс,Скодас 4,3,67,4/5,Лит. пр.,47900
2025-09-15,Болдерая,Силикату 14,1,29,2/3,Хрущ.,26600
2025-09-15,Иманта,Анниньмуйжас 43,4,189,13/24,Нов.,220000
2025-09-15,центр,Пулкв. Бриежа 11,3,68,1/6,Рекон.,150000
2025-09-15,Саркандаугава,Хапсалас 1,3,110,7/8,Нов.,150000
2025-09-15,центр,Валдемара 9,6,210,3/5,Дов. дом,550000
2025-09-15,Болдерая,Финиера 11,1,34,4/5,103-я,30000
2025-09-15,центр,Виландес 6,5,150,3/4,Рекон.,420000
2025-09-15,Пурвциемс,Дзелзавас 81,3,59,3/9,103-я,63000
2025-09-15,Агенскалнс,Смильгя 32,2,43,1/5,Хрущ.,60000
2025-09-15,Плявниеки,Илукстес 22,1,42,5/5,М. сем.,44000
2025-09-15,центр,Марияс 4,2,31,3/5,Рекон.,142500
2025-09-15,Агенскалнс,Амалияс 5a,3,68,3/3,Рекон.,198787
2025-09-15,центр,Стабу 87,3,64,3/5,Рекон.,111807
2025-09-15,центр,Красотаю 13,2,52,5/5,Рекон.,119473
2025-09-15,Кливерсала,Кугю 26,3,102,4/5,Нов.,340000
2025-09-15,Агенскалнс,Баложу 1,2,30,1/1,Спец. пр.,30000
2025-09-15,центр,Марияс 4,2,31,3/5,Рекон.,142500
2025-09-15,Тейка,Таливалжа 18,2,78,1/2,Дов. дом,115399
2025-09-15,центр,Валдемара 41a,3,65,4/7,Нов.,255000
2025-09-15,Зиепниеккалнс,Стерсту 15A,3,51,3/3,Нов.,135000
2025-09-15,Саркандаугава,Целиниеку 14,1,20,1/4,Дов. дом,17000
2025-09-15,Кенгарагс,Булту 6,2,49,5/5,Лит. пр.,50000
2025-09-15,Межциемс,Кайвас 48a,3,64,1/6,Нов.,158600
2025-09-15,Межциемс,Хипократа 17,2,51,1/9,602-я,68500
2025-09-15,Шампетерис-Плескодале,Залвес 47,3,92,2/5,Нов.,190000
2025-09-15,Золитуде,Анниньмуйжас 13,4,183,11/12,Нов.,275000
2025-09-15,Саркандаугава,Саркандаугавас 26 k-4,2,42,2/5,Хрущ.,37800
2025-09-15,Кенгарагс,Латгалес 291,3,63,5/5,Лит. пр.,42000
2025-09-15,Пурвциемс,Упеню 21,2,54,1/7,Нов.,111000
2025-09-15,центр,Виландес 8,4,145,5/5,Дов. дом,303450
2025-09-15,Кенгарагс,Латгалес 279 K-3,2,43,1/5,Лит. пр.,42000
2025-09-15,Иманта,Анниньмуйжас 38,4,307,18/12,Нов.,260000
2025-09-15,центр,Чака 134,2,53,1/7,Нов.,128000
2025-09-15,центр,Госпиталю 36,4,190,6/7,Дов. дом,290000
2025-09-15,центр,Цесу 43,3,100,1/6,Рекон.,37000
2025-09-15,Агенскалнс,Виенибас Г. 65,2,55,1/2,Рекон.,63000
